Date,DXCM,ISRG,KHC,LLY,MCD,NSRGY,NVO,PEP,PLNT,PODD,YUM
2019-01-02,28.795000076293945,155.3433380126953,29.806629180908203,104.16252136230469,147.7953643798828,65.29322814941406,19.790523529052734,86.69365692138672,53.58000183105469,73.43000030517578,79.630615234375
2019-01-03,28.065000534057617,150.0800018310547,29.786001205444336,100.92562103271484,146.82159423828125,66.95465850830078,19.951250076293945,85.88448333740234,52.79999923706055,72.44000244140625,77.62763214111328
2019-01-04,29.059999465942383,157.22666931152344,30.597524642944336,103.96305847167969,149.65895080566406,68.0785903930664,20.023157119750977,87.6456527709961,54.91999816894531,77.1500015258789,79.64801025390625
2019-01-07,32.48749923706055,159.47999572753906,31.175233840942383,104.52526092529297,151.2875213623047,67.36189270019531,20.150049209594727,86.8919906616211,55.84000015258789,74.20999908447266,79.5609130859375
2019-01-08,32.880001068115234,160.99667358398438,31.202741622924805,105.4863510131836,151.6065216064453,67.57364654541016,20.44611930847168,87.72499084472656,57.619998931884766,74.1500015258789,79.4041748046875
2019-01-09,34.6875,172.3699951171875,31.037677764892578,106.27517700195312,151.3463134765625,68.20075988769531,20.670289993286133,85.27363586425781,58.310001373291016,74.87999725341797,79.36933135986328
2019-01-10,35.474998474121094,172.69000244140625,31.360919952392578,105.1236572265625,152.4040069580078,68.73014068603516,20.530712127685547,85.79722595214844,58.630001068115234,74.22000122070312,79.93538665771484
2019-01-11,35.275001525878906,168.44000244140625,31.3677978515625,105.34123992919922,153.0923614501953,68.82787322998047,20.534944534301758,85.80517578125,58.79999923706055,73.05000305175781,79.19515228271484
2019-01-14,35.685001373291016,167.57000732421875,31.80795669555664,103.981201171875,152.1269989013672,68.76272583007812,19.73130989074707,85.13875579833984,57.220001220703125,74.3499984741211,78.37657165527344
2019-01-15,36.76250076293945,171.82000732421875,32.261863708496094,106.16637420654297,151.95912170410156,68.97447204589844,19.96394157409668,86.46361541748047,58.0,76.97000122070312,78.71620178222656
2019-01-16,36.76250076293945,171.97666931152344,32.213714599609375,105.90342712402344,150.55722045898438,68.42066192626953,19.824363708496094,85.94795989990234,57.900001525878906,73.9800033569336,78.22852325439453
2019-01-17,37.375,178.0933380126953,32.37877655029297,108.04328155517578,152.03468322753906,68.83600616455078,20.15427589416504,86.64607238769531,58.4900016784668,74.80999755859375,78.98615264892578
2019-01-18,37.380001068115234,180.85000610351562,32.688262939453125,105.7130126953125,153.26028442382812,68.92559814453125,20.32345962524414,87.32036590576172,58.5,74.94999694824219,80.43177795410156
2019-01-22,37.70500183105469,178.92666625976562,32.51631546020508,106.16637420654297,154.93919372558594,68.55096435546875,20.382673263549805,87.19346618652344,58.189998626708984,76.45999908447266,80.16182708740234
2019-01-23,36.6349983215332,176.64999389648438,32.36502456665039,107.707763671875,156.21519470214844,68.94188690185547,20.04853630065918,87.8439712524414,57.79999923706055,74.16999816894531,80.79753112792969
2019-01-24,36.02000045776367,178.7066650390625,32.00739288330078,104.26227569580078,157.2896728515625,69.33281707763672,19.790523529052734,86.86819458007812,57.619998931884766,76.86000061035156,80.91075897216797
2019-01-25,36.252498626708984,171.67999267578125,32.15182113647461,104.244140625,154.46072387695312,68.85230255126953,19.60865020751953,86.74919128417969,57.56999969482422,78.44999694824219,80.73655700683594
2019-01-28,35.34000015258789,165.57666015625,32.254981994628906,104.29855346679688,154.1249237060547,69.47127532958984,19.625566482543945,86.32874298095703,57.7400016784668,78.44000244140625,80.63207244873047
2019-01-29,35.01250076293945,164.75,32.24121856689453,104.91510772705078,152.92446899414062,70.65220642089844,19.73130989074707,86.47156524658203,57.58000183105469,76.55000305175781,80.70174407958984
2019-01-30,35.90250015258789,169.4933319091797,32.15182113647461,106.03034973144531,152.58868408203125,70.90467071533203,19.900495529174805,87.91539001464844,58.04999923706055,76.93000030517578,81.38099670410156
2019-01-31,35.25749969482422,174.54666137695312,33.052757263183594,108.6779556274414,150.07872009277344,71.05127716064453,19.8878116607666,89.38299560546875,57.91999816894531,81.19000244140625,81.84257507324219
2019-02-01,35.44499969482422,174.88333129882812,32.84644317626953,109.61186981201172,148.34945678710938,70.57891845703125,20.560317993164062,89.002197265625,57.9900016784668,82.52999877929688,81.97318267822266
2019-02-04,36.122501373291016,174.14332580566406,32.825801849365234,108.95903015136719,149.04620361328125,70.22870635986328,20.534944534301758,89.71620178222656,58.150001525878906,81.08000183105469,82.42603302001953
2019-02-05,37.185001373291016,174.29666137695312,33.1077766418457,109.19477081298828,149.06298828125,71.06757354736328,20.64068603515625,89.56547546386719,58.400001525878906,81.72000122070312,82.24313354492188
2019-02-06,36.290000915527344,173.98333740234375,32.79829406738281,108.14299774169922,147.8961181640625,70.54633331298828,20.5856990814209,89.68447875976562,57.91999816894531,81.43000030517578,82.3737564086914
2019-02-07,35.9900016784668,169.7866668701172,32.481929779052734,106.53811645507812,147.1405792236328,70.16354370117188,20.577245712280273,89.71620178222656,57.5,81.31999969482422,82.39117431640625
2019-02-08,36.38249969482422,172.35000610351562,32.64011764526367,108.4422378540039,146.6957244873047,70.64405822753906,20.687210083007812,89.66065979003906,57.36000061035156,81.97000122070312,82.28666687011719
2019-02-11,37.807498931884766,176.48666381835938,32.550697326660156,107.00054168701172,146.2843780517578,70.1309585571289,20.58146858215332,89.62100219726562,57.900001525878906,82.8499984741211,81.2155532836914
2019-02-12,38.182498931884766,179.90333557128906,33.08714294433594,108.34248352050781,146.0408935546875,69.87035369873047,20.89446258544922,90.27152252197266,58.86000061035156,84.3499984741211,81.90351867675781
2019-02-13,37.26250076293945,177.82333374023438,32.763912200927734,108.48751831054688,146.19198608398438,69.87849426269531,20.763343811035156,90.5333251953125,58.43000030517578,84.95999908447266,81.64106750488281
2019-02-14,36.95750045776367,178.69332885742188,32.55758285522461,110.07829284667969,147.63587951660156,71.30375671386719,21.055191040039062,89.31954193115234,58.63999938964844,84.83000183105469,82.09595489501953
2019-02-15,37.122501373291016,182.8333282470703,32.75015640258789,111.65544891357422,151.0776824951172,72.33808898925781,21.296281814575195,91.95336151123047,58.970001220703125,88.45999908447266,82.3321533203125
2019-02-19,36.974998474121094,182.72332763671875,32.85332107543945,111.33637237548828,150.47325134277344,72.6964340209961,21.283588409423828,91.96923065185547,58.56999969482422,87.62999725341797,82.68206024169922
2019-02-20,36.3849983215332,183.21665954589844,33.1903076171875,111.81951141357422,151.5142364501953,73.7389144897461,21.0213565826416,91.88990020751953,58.47999954223633,85.83999633789062,82.85700225830078
2019-02-21,36.5625,183.2899932861328,33.135292053222656,111.87422180175781,153.46173095703125,74.62665557861328,21.004436492919922,92.10409545898438,58.25,85.2300033569336,82.9969482421875
2019-02-22,34.21500015258789,183.95333862304688,24.036495208740234,113.04109954833984,153.7639617919922,74.14612579345703,21.055191040039062,92.62770080566406,58.0,87.5999984741211,83.44306945800781
2019-02-25,35.224998474121094,184.4633331298828,23.541322708129883,112.94081115722656,153.2938232421875,74.11355590820312,20.907150268554688,92.07238006591797,56.720001220703125,89.91999816894531,81.78980255126953
2019-02-26,34.897499084472656,182.82000732421875,22.777931213378906,113.65187072753906,153.7975616455078,74.19499206542969,20.915611267089844,92.00096130371094,56.88999938964844,92.11000061035156,81.66731262207031
2019-02-27,35.022499084472656,183.1366729736328,22.14521026611328,114.57261657714844,153.9234161376953,73.28282928466797,20.754884719848633,91.52497100830078,58.45000076293945,93.5199966430664,81.44863891601562
2019-02-28,34.83250045776367,182.5366668701172,22.826066970825195,115.12870788574219,155.30892944335938,73.56787872314453,20.70412826538086,92.48307800292969,58.779998779296875,93.91000366210938,82.66455841064453
2019-03-01,35.872501373291016,186.18333435058594,22.282764434814453,117.4533462524414,156.3311767578125,73.9180908203125,20.97905731201172,92.91493225097656,61.16999816894531,94.3499984741211,83.42557525634766
2019-03-04,35.375,183.30999755859375,22.853578567504883,116.19529724121094,152.5632781982422,74.07282257080078,20.801408767700195,92.90692901611328,61.7400016784668,92.51000213623047,83.2243881225586
2019-03-05,36.74250030517578,182.20333862304688,22.722911834716797,117.13426971435547,153.20533752441406,74.62665557861328,21.012893676757812,92.79498291015625,63.619998931884766,93.86000061035156,83.91545867919922
2019-03-06,35.852500915527344,178.836669921875,22.599117279052734,115.4842529296875,153.77984619140625,74.292724609375,20.792953491210938,93.29882049560547,63.779998779296875,92.12999725341797,84.50155639648438
2019-03-07,35.76750183105469,177.72000122070312,22.2022762298584,115.17428588867188,152.50416564941406,74.52891540527344,20.81833267211914,92.85094451904297,63.88999938964844,93.08000183105469,84.44904327392578
2019-03-08,35.810001373291016,177.9199981689453,22.348482131958008,115.50248718261719,151.64247131347656,74.8791275024414,21.012893676757812,92.15518188476562,64.04000091552734,92.02999877929688,84.56275939941406
2019-03-11,36.022499084472656,180.98333740234375,22.397214889526367,112.58528137207031,152.97727966308594,75.05829620361328,21.038270950317383,93.2428207397461,65.7300033569336,93.97000122070312,85.54249572753906
2019-03-12,35.9474983215332,183.3766632080078,22.271894454956055,112.58528137207031,153.61090087890625,75.131591796875,20.957908630371094,93.2268295288086,66.56999969482422,95.87999725341797,85.7087173461914
2019-03-13,36.8650016784668,185.72000122070312,22.487720489501953,113.32369995117188,153.80519104003906,75.78314971923828,21.283588409423828,93.23483276367188,67.05999755859375,95.7300033569336,86.28604888916016
2019-03-14,36.712501525878906,186.2433319091797,22.188352584838867,112.2024154663086,154.37966918945312,76.63829803466797,21.359725952148438,92.3711166381836,67.7699966430664,95.95999908447266,86.58348083496094
2019-03-15,37.75,186.07000732421875,22.341520309448242,112.98639678955078,156.56768798828125,76.14965057373047,21.524682998657227,92.49905395507812,67.30000305175781,98.04000091552734,88.26299285888672
2019-03-18,36.537498474121094,186.49667358398438,22.29974365234375,114.1715087890625,155.40185546875,76.8174819946289,21.76154136657715,93.78668212890625,67.25,97.47000122070312,87.68566131591797
